Name,Age,Nationality,Overall,Potential,Club,Value,Wage
B. Olszewski,21,Poland,57,65,Górnik Zabrze,130000,1000
M. Janssens,19,Belgium,57,68,Waasland-Beveren,130000,1000
Y. Ito,24,Japan,57,61,Albirex Niigata,130000,1000
B. Mugabi,22,Uganda,57,65,Yeovil Town,130000,1000
C. McCarthy,19,Republic of Ireland,57,66,Cork City,130000,1000
A. Parkhouse,24,Australia,57,60,Wellington Phoenix,130000,1000
M. Kelly,19,Scotland,57,66,Bristol Rovers,130000,1000
J. Lelan,22,Kenya,57,65,Crawley Town,130000,1000
S. Takahashi,21,Japan,57,65,Sanfrecce Hiroshima,130000,1000
M. Yamada,22,Japan,57,65,F.C. Tokyo,130000,1000
L. Andrenacci,22,Italy,57,67,Brescia,130000,1000
R. Jendrusch,21,Germany,57,67,FC Erzgebirge Aue,130000,1000
N. Herranz,23,Argentina,57,65,Bahia Blanca,130000,1000
S. Fujitani,19,Japan,57,66,Vissel Kobe,130000,1000
S. Mbingui,25,Gabon,57,60,Tours FC,130000,1000
R. Kim,20,Russia,57,67,Pohang Steelers,130000,1000
A. Kalabane,21,Guinea,56,63,AFC Eskilstuna,130000,1000
S. Amin,19,Sweden,56,64,Örebro SK,130000,1000
D. Olsson,20,Sweden,56,68,IF Elfsborg,130000,1000
D. Devine,19,England,56,65,Bradford City,130000,1000
M. Daube,19,Germany,56,67,Werder Bremen II,130000,1000
Y. Mosquera,21,Colombia,56,68,Independiente Santa Fe,130000,1000
N. Konstandopoulos,21,Australia,56,64,Adelaide United,130000,1000
M. Capitani,21,Italy,56,63,Ternana,130000,1000
Spinola,21,Cape Verde,56,63,Aalesunds FK,130000,1000
H. Campbell,21,England,56,68,Burton Albion,130000,1000
H. Acevedo,20,Colombia,56,68,Asociacion Deportivo Cali,130000,1000
D. Pawłowski,18,Poland,56,68,Górnik Zabrze,130000,1000
G. Pender,23,Republic of Ireland,56,62,Bray Wanderers,130000,1000
C. Núñez,19,Paraguay,56,67,Velez Sarsfield,130000,1000
N. Lemaître,20,France,56,68,Stade de Reims,130000,1000
D. Moreno,21,Colombia,56,64,Atletico Huila,130000,1000
N. Boyle,23,Republic of Ireland,56,62,Derry City,130000,1000
H. Gunnlaugsson,22,Iceland,56,64,Halmstads BK,130000,1000
A. Ajdarević,19,Albania,56,64,Örebro SK,130000,1000
T. Koga,18,Japan,56,68,Kashiwa Reysol,130000,1000
T. Righetti,19,Switzerland,56,67,FC Thun,130000,1000
L. Malagón,20,Mexico,56,68,Monarcas Morelia,130000,1000
T. Sibbick,18,England,56,68,AFC Wimbledon,130000,1000
N. Mingiedi,19,Belgium,56,67,Sporting Lokeren,130000,1000
J. Soltvedt,21,Norway,56,62,Sogndal,130000,1000
A. Nurudeen,18,Ghana,56,69,KAS Eupen,130000,1000
N. Rodes,19,Belgium,56,67,Sporting Charleroi,130000,1000
M. Bower,18,England,55,67,Cheltenham Town,130000,1000
O. Kindlund,20,Sweden,55,63,IK Sirius,130000,1000
J. Kerr,20,Scotland,55,65,St. Johnstone FC,130000,1000
G. Moorhouse,22,Republic of Ireland,55,62,Sligo Rovers,130000,1000
K. Takayama,20,Japan,55,66,Omiya Ardija,130000,1000
J. Grič,20,Slovakia,55,65,Sandecja Nowy Sącz,130000,1000
S. Mori,22,Japan,55,63,Albirex Niigata,130000,1000
K. Wakasugi,21,Japan,55,62,Ventforet Kofu,130000,1000
M. Ogboe,22,Greece,55,62,Hamilton Academical FC,130000,1000
Hongliang Tao,20,China PR,55,63,Stabæk Fotball,130000,1000
W. Scott,17,Australia,55,68,Perth Glory,130000,1000
M. Rudakov,21,Russia,55,67,HJK Helsinki,130000,1000
Y. Wakizaka,22,Japan,55,63,Kawasaki Frontale,130000,1000
R. Kruppa,17,Poland,55,68,Cracovia,130000,1000
G. Candia,22,Chile,55,63,Santiago Wanderers,130000,1000
C. Deasy,20,Republic of Ireland,55,66,Drogheda United,130000,1000
R. Sallinger,21,Austria,55,67,Wolfsberger AC,130000,1000
N. Marthinussen,17,Norway,55,68,SK Brann,130000,1000
N. Cotton,20,England,55,63,Southend United,130000,1000
S. Rowley,20,England,55,67,Shrewsbury,130000,1000
H. Castegren,21,Sweden,55,65,IFK Norrköping,130000,1000
M. McKenzie,18,United States,54,71,Philadelphia Union,130000,1000
R. Strechie,16,Romania,54,74,F.B.C. Unione Venezia,130000,1000
C. Kane,18,Republic of Ireland,54,69,Drogheda United,130000,1000
M. Okazaki,18,Japan,54,73,F.C. Tokyo,130000,1000
M. Fofana,19,Guinea,54,68,Sogndal,130000,1000
T. Campulka,18,Germany,54,68,Chemnitzer FC,130000,1000
M. Imperiale,18,Italy,54,73,Empoli,130000,1000
R. Tierney,19,Scotland,54,67,Hamilton Academical FC,130000,1000
J. Hope,19,Australia,54,67,Melbourne Victory,130000,1000
C. Oxlade-Chamberlain,19,England,54,68,Portsmouth,130000,1000
V. Nambishi,19,Zambia,54,67,Silkeborg IF,130000,1000
B. Toma,18,Switzerland,54,74,FC Sion,130000,1000
T. Lia,19,France,54,67,Le Havre AC,130000,1000
M. Bildøy,17,Norway,54,69,SK Brann,130000,1000
A. Gory,20,France,54,67,Le Havre AC,130000,1000
D. Pik,16,Poland,54,68,Cracovia,130000,1000
B. Ponnet,17,Belgium,54,69,Waasland-Beveren,130000,1000
H. Phillips,19,England,54,67,Southend United,130000,1000
A. Sampsted,19,Iceland,54,69,IFK Norrköping,130000,1000
A. Traorè,17,Ivory Coast,54,68,Perugia,130000,1000
C. Sıkılmaz,18,Turkey,54,68,Kardemir Karabuekspor,130000,1000
E. Orozco,18,Colombia,54,74,Águilas Doradas,130000,1000
R. Barnett,17,England,54,71,Shrewsbury,130000,1000
L. Pierre,19,Haiti,53,68,AC Ajaccio,130000,1000
M. Pedersen,16,Norway,53,74,Tromsø IL,130000,1000
N. Murcia,19,Colombia,53,69,CD Los Millionarios Bogota,130000,1000
R. Webb-Foster,19,England,53,68,Bradford City,130000,1000
W. Fonguck,19,England,53,70,Barnet,130000,1000
J. Pereira,19,Norway,53,68,Viking FK,130000,1000
L. Ferguson,17,Scotland,53,74,Hamilton Academical FC,130000,1000
K. Viveros,17,Colombia,53,74,CD America de Cali,130000,1000
Felipe Ferreyra,19,Brazil,53,69,Curicó Unido,130000,1000
S. Al Selouli,19,Saudi Arabia,53,69,Ettifaq FC,130000,1000
C. Simpson,17,England,53,75,Preston North End,130000,1000
D. Zipa,19,Colombia,53,68,Tigres FC,130000,1000
J. Campaz,17,Colombia,53,75,Deportes Tolima,130000,1000
M. Ramkilde,19,Denmark,53,68,Aalborg BK,130000,1000
João Morelli,20,Brazil,53,67,Fleetwood Town,130000,1000
L. Krakowczyk,19,Poland,53,69,Piast Gliwice,130000,1000
Jeong Chung Yeob,19,Korea Republic,53,68,Daegu FC,130000,1000
M. Francois,20,France,53,67,FC Sochaux-Montbeliard,130000,1000
L. Brook,16,Australia,53,75,Adelaide United,130000,1000
R. Vinderslev,19,Denmark,53,69,SønderjyskE,130000,1000
R. Huhtala,19,Finland,53,68,HJK Helsinki,130000,1000
H. Palacios,17,Colombia,53,74,Atletico Nacional Medellin,130000,1000
N. Kyei,19,England,53,67,Barnet,130000,1000
M. Bustgaard Larsen,17,Norway,53,75,Odds BK,130000,1000
S. Abe,33,Japan,62,62,Ventforet Kofu,120000,1000
K. Brennan,33,Republic of Ireland,62,62,St. Patrick's Athletic,120000,1000
A. Karadas,35,Norway,61,61,SK Brann,120000,1000
M. Herrera,29,Colombia,59,59,La Equidad,120000,1000
Park Yo Han,28,Korea Republic,59,59,GwangJu FC,120000,1000
P. Posipal,29,Germany,59,59,SV Meppen,120000,1000
S. Beattie,28,Republic of Ireland,59,59,Cork City,120000,1000
P. Friis Jensen,29,Denmark,59,60,Silkeborg IF,120000,1000
J. Kanakubo,29,Japan,58,58,Vegalta Sendai,120000,1000
M. Bruhn,26,Denmark,58,62,FC Helsingør,120000,1000
D. Hładun,21,Poland,58,63,Zagłębie Lubin,120000,1000
E. Montaño,27,Colombia,58,59,Tigres FC,120000,1000
F. Plach,25,Slovakia,58,63,Piast Gliwice,120000,1000
T. Shimakawa,27,Japan,58,60,Ventforet Kofu,120000,1000
H. Fukushima,24,Japan,58,62,Urawa Red Diamonds,120000,1000
L. Chiappero,23,Argentina,58,63,Defensa y Justicia,120000,1000
G. Brennan,29,Republic of Ireland,58,58,Drogheda United,120000,1000
M. Netolitzky,23,Germany,58,62,Hallescher FC,120000,1000
L. Ketterer,23,United States,58,63,Columbus Crew SC,120000,1000
M. Brouwer,24,Netherlands,58,63,Heracles Almelo,120000,1000
D. Restrepo,24,Colombia,57,62,Independiente Medellin,120000,1000
J. Hatlehol,20,Norway,57,64,Aalesunds FK,120000,1000
M. Fisch,24,Denmark,57,64,FC Helsingør,120000,1000
O. Ottesen,18,Denmark,57,67,FC Midtjylland,120000,1000
N. Tenaglia,21,Argentina,57,62,Talleres de Cordoba,120000,1000
M. Ranmark,21,Norway,57,65,Molde FK,120000,1000
P. Brough,21,England,57,62,Morecambe,120000,1000
J. Bachmann,21,Germany,57,62,Chemnitzer FC,120000,1000
T. Hadler,20,England,57,65,Gillingham,120000,1000
J. Scherzer,21,Austria,57,62,FC Admira Wacker Mödling,120000,1000
N. Giraldo,24,Colombia,57,62,Envigado FC,120000,1000
M. Quiñones,21,Colombia,57,62,Deportivo Pasto,120000,1000
M. Lansing,23,United States,57,66,Aalborg BK,120000,1000
T. Iida,22,Japan,57,64,Shimizu S-Pulse,120000,1000
Lee In Kyu,24,Korea Republic,57,62,GwangJu FC,120000,1000
J. Skomsøy Bjerkås,24,Norway,57,62,Kristiansund BK,120000,1000
J. Soto,22,Chile,57,64,Santiago Wanderers,120000,1000
V. Karakuş,19,Turkey,57,67,Kayserispor,120000,1000
M. Sato,26,Japan,57,58,GwangJu FC,120000,1000
R. Etheridge,22,England,57,66,Doncaster Rovers,120000,1000
D. Kovačić,23,Croatia,57,63,FC Lugano,120000,1000
R. Kaib,20,Sweden,57,63,IF Elfsborg,120000,1000
J. Dautzenberg,19,Netherlands,57,66,Patriotas Boyaca FC,120000,1000
B. Warland,20,Australia,56,65,Sydney FC,120000,1000
H. Taylor,20,England,56,65,Barnet,120000,1000
S. Brodersen,20,Germany,56,67,FC St. Pauli,120000,1000
I. Yazgan,19,Turkey,56,65,Kayserispor,120000,1000
M. Currarino,24,Italy,56,61,Virtus Entella,120000,1000
K. Martin,22,Switzerland,56,67,FC Lausanne-Sports,120000,1000
D. Diaw,25,Senegal,56,59,Virtus Entella,120000,1000
A. Ordagic,24,Bosnia Herzegovina,56,60,SK Brann,120000,1000
J. Bruhns,18,Germany,56,68,SC Fortuna Köln,120000,1000
P. Gannon,20,Republic of Ireland,56,61,Bohemian FC,120000,1000
I. Shinozuka,22,Russia,56,62,Yokohama F. Marinos,120000,1000
C. Martin,22,United States,56,65,Minnesota United,120000,1000
R. Telfer,23,Canada,55,61,Toronto FC,120000,1000
R. Lovett,20,England,55,66,Cheltenham Town,120000,1000
A. Kabashi,20,Sweden,55,61,IF Elfsborg,120000,1000
K. Politz,21,United States,55,64,New York Red Bulls,120000,1000
A. Sissoko,20,France,55,65,Clermont Foot 63,120000,1000
M. Agger,24,Denmark,55,60,Sarpsborg 08 FF,120000,1000
J. Sowerby,22,England,55,62,Fleetwood Town,120000,1000
S. Lavelle,20,Scotland,55,64,Morecambe,120000,1000
D. Rodriguez,20,Colombia,55,66,Corporación Club Deportivo Tulua,120000,1000
T. Deters,21,Germany,55,62,SV Meppen,120000,1000
K. Nowak,22,Poland,55,59,Górnik Zabrze,120000,1000
H. Ishikawa,18,Japan,55,64,Sagan Tosu,120000,1000
R. Purdy,20,Republic of Ireland,55,64,Drogheda United,120000,1000
Marcos Lavin,20,Spain,55,66,Córdoba CF,120000,1000
P. Omombe,22,France,55,61,Paris FC,120000,1000
A. Gilchrist,22,Scotland,55,65,Shamrock Rovers,120000,1000
J. Ritter,22,Denmark,55,64,FC Helsingør,120000,1000
L. Davies,17,England,55,67,Cambridge United,120000,1000
A. Galens,19,Belgium,55,67,KV Kortrijk,120000,1000
B. Stevenson,18,England,55,63,Gillingham,120000,1000
J. Cano,21,United States,55,64,FC Dallas,120000,1000
U. Mohammed,23,Nigeria,55,61,Sarpsborg 08 FF,120000,1000
S. Russell,23,Republic of Ireland,55,61,Drogheda United,120000,1000
F. Garcia,17,Argentina,55,65,Bahia Blanca,120000,1000
I. Keita,21,France,54,65,Finn Harps,120000,1000
T. Holland,19,Republic of Ireland,54,68,Limerick FC,120000,1000
T. Bloor,17,England,54,73,Mansfield Town,120000,1000
S. Brady,21,Australia,54,65,Brisbane Roar,120000,1000
Y. Clementia,19,France,54,71,OGC Nice,120000,1000
R. McGinley,17,Northern Ireland,54,67,Rotherham United,120000,1000
T. Garratt,20,England,54,67,Doncaster Rovers,120000,1000
F. Kelleher,21,Republic of Ireland,54,67,Oxford United,120000,1000
A. Fantini,19,Japan,54,68,Sagan Tosu,120000,1000
F. Lauenborg,20,Denmark,54,65,Randers FC,120000,1000
J. Tartarotti,17,Austria,54,67,SCR Altach,120000,1000
A. Vucenovic,19,Austria,54,66,SKN St. Pölten,120000,1000
J. Lartiga,19,Chile,54,68,San Luis de Quillota,120000,1000
I. Angking,17,United States,54,74,New England Revolution,120000,1000
E. Sandberg,17,Norway,54,68,Lillestrøm SK,120000,1000
A. Majok,18,Kenya,54,67,Western Sydney Wanderers,120000,1000
A. Chernov,19,Russia,54,68,FC Ufa,120000,1000
D. Lasik,20,Poland,54,65,Górnik Zabrze,120000,1000
M. Mejlstrup Pedersen,21,Denmark,54,65,Hobro IK,120000,1000
C. Zuvela,20,Australia,54,65,Sydney FC,120000,1000
D. Camacho,20,Colombia,54,66,La Equidad,120000,1000
J. Quiñones,20,Colombia,54,66,Deportivo Pasto,120000,1000
E. Aiwu,16,Austria,54,72,FC Admira Wacker Mödling,120000,1000
L. Hedlund,18,Sweden,53,68,BK Häcken,120000,1000
M. Howard,17,England,53,71,Cork City,120000,1000
R. Akbari,17,Australia,53,68,Brisbane Roar,120000,1000
S. McWilliams,18,England,53,71,Northampton Town,120000,1000
E. Banza,17,Congo,53,72,HJK Helsinki,120000,1000
P. Waring,18,Australia,53,67,Melbourne Victory,120000,1000
H. Tangen,16,Norway,53,71,Viking FK,120000,1000
P. Ruiz,18,Argentina,53,70,Real Salt Lake,120000,1000
Y. Suzuki,18,Japan,53,69,F.C. Tokyo,120000,1000
A. Waagan,17,Norway,53,68,Aalesunds FK,120000,1000
R. Ljubicic,17,Austria,53,68,SKN St. Pölten,120000,1000
M. Kwietniewski,18,Poland,53,70,Legia Warszawa,120000,1000
M. Smallcombe,18,Wales,53,73,Exeter City,120000,1000
D. Kane,20,Republic of Ireland,53,67,Cork City,120000,1000
Alfon,18,Spain,53,68,Albacete Balompie,120000,1000
M. Lund,21,Denmark,53,68,Odense Boldklub,120000,1000
N. Uche,17,Switzerland,53,74,FC Thun,120000,1000
E. Vertainen,18,Finland,53,68,HJK Helsinki,120000,1000
S. McLoughlin,20,Republic of Ireland,53,67,Cork City,120000,1000
B. Servania,18,United States,53,70,FC Dallas,120000,1000
D. Karimani,18,Kosovo,53,71,SC Paderborn 07,120000,1000
M. Dahlby,17,Norway,53,67,Strømsgodset IF,120000,1000
G. Gibson,16,Norway,53,71,Sandefjord Fotball,120000,1000
C. Ellis,20,Republic of Ireland,53,66,Limerick FC,120000,1000
W. Nowak,18,Poland,53,67,Sandecja Nowy Sącz,120000,1000
I. Ocampo,17,Chile,53,71,Deportes Iquique,120000,1000
S. Want,20,Scotland,53,67,Hamilton Academical FC,120000,1000
M. Renå Olsen,18,Norway,53,74,Stabæk Fotball,120000,1000
T. Børkeeiet,18,Norway,53,73,Stabæk Fotball,120000,1000
G. Morandi,18,Switzerland,53,73,Grasshopper Club Zuerich,120000,1000
J. Bedford,18,England,53,67,Portsmouth,120000,1000
H. Furuncu,18,France,53,69,US Quevilly-Rouen,120000,1000
T. Petrović,18,Croatia,53,69,Virtus Entella,120000,1000
K. McClean,18,Northern Ireland,53,71,St. Johnstone FC,120000,1000
P. Kekeris,17,Australia,53,70,Central Coast Mariners,120000,1000
A. McCarthy,18,Scotland,53,73,Partick Thistle F.C.,120000,1000
C. Shelis,17,Cyprus,53,75,Shrewsbury,120000,1000
C. Peters,18,England,53,69,Walsall,120000,1000
M. Haile-Selassie,18,Switzerland,53,71,FC Zuerich,120000,1000
P. Clarke,35,England,64,64,Bury,110000,1000
M. Rogalski,34,Poland,63,63,Wisła Płock,110000,1000
M. Ligoule,34,France,63,63,US Orleans Loiret Football,110000,1000
L. Madej,35,Poland,61,61,Śląsk Wrocław,110000,1000
I. Morris,30,Republic of Ireland,59,59,Bohemian FC,110000,1000
F. Andersson,28,Sweden,59,59,Malmö FF,110000,1000
L. Italiano,26,Australia,58,61,Wellington Phoenix,110000,1000
G. Sarris,27,Greece,58,58,Hamilton Academical FC,110000,1000
B. Traore,27,France,58,58,Paris FC,110000,1000
K. Forenc,24,Poland,58,60,Zagłębie Lubin,110000,1000
T. Paterok,24,Germany,58,61,VfL Osnabrueck,110000,1000
F. Sollacaro,23,France,57,64,AC Ajaccio,110000,1000
J. Vall,24,Sweden,57,60,IFK Norrköping,110000,1000
Jin Dae Seong,27,Korea Republic,57,57,Sangju Sangmu FC,110000,1000
A. Flores,26,El Salvador,57,57,Portland Timbers,110000,1000
N. Sakai,24,Japan,57,60,Albirex Niigata,110000,1000
D. Srnić,25,Serbia,57,60,Śląsk Wrocław,110000,1000
M. Nilsson,23,Sweden,57,65,Halmstads BK,110000,1000
W. Percevaux,18,France,56,67,US Orleans Loiret Football,110000,1000
Lee Myeong Geon,22,Korea Republic,56,64,Pohang Steelers,110000,1000
M. Godinho,20,Canada,56,64,Heart of Midlothian,110000,1000
B. Bödvarsson,22,Iceland,56,64,Jagiellonia Białystok,110000,1000
R. Gonzalez,21,Chile,56,63,San Luis de Quillota,110000,1000
K. Cantwell,22,Republic of Ireland,56,62,Limerick FC,110000,1000
Y. Koide,22,Japan,56,62,Ventforet Kofu,110000,1000
K. Dybowski,20,Poland,56,65,Piast Gliwice,110000,1000
D. Barnes,21,England,56,66,Colchester United,110000,1000
C. Waters,21,Scotland,56,64,Sligo Rovers,110000,1000
M. Beye,21,Senegal,56,62,Novara,110000,1000
H. Takimoto,20,Japan,56,66,Kashiwa Reysol,110000,1000
X. Lenogue,20,France,56,66,AJ Auxerre,110000,1000
V. Wernersson,21,Sweden,56,64,IFK Göteborg,110000,1000
B. Lerch,21,Germany,56,66, SSV Jahn Regensburg,110000,1000
A. Eichhorn,18,Germany,56,66,SC Fortuna Köln,110000,1000
J. Bonner,25,Republic of Ireland,56,59,Finn Harps,110000,1000
N. Mbo,18,DR Congo,56,61,Gillingham,110000,1000
M. Iliadis,21,Greece,56,66,Salernitana,110000,1000
C. Clifford,25,Republic of Ireland,56,57,Limerick FC,110000,1000
J. Sievers,22,Germany,56,66,1. FC Kaiserslautern,110000,1000
J. Tibbetts,18,England,55,67,Peterborough United,110000,1000
M. Tokida,19,Japan,55,63,Vegalta Sendai,110000,1000
S. Hagbø,18,Norway,55,65,Molde FK,110000,1000
J. Hyland,21,Republic of Ireland,55,63,Drogheda United,110000,1000
L. Palumbo,25,Italy,55,56,Carpi,110000,1000
F. O'Mara,18,Republic of Ireland,55,65,Gillingham,110000,1000
W. Kuzain,18,United States,55,65,Sporting Kansas City,110000,1000
D. Araki,23,Japan,55,59,Júbilo Iwata,110000,1000
R. Cooney,17,England,55,66,Bury,110000,1000
L. Gray,21,Wales,55,65,Carlisle United,110000,1000
Y. Horigome,22,Japan,55,63,Albirex Niigata,110000,1000
B. Sowe,20,Sweden,55,63,AFC Eskilstuna,110000,1000
L. Sutton,20,England,55,63,Scunthorpe United,110000,1000
J. Borgmann,19,Germany,55,63,SC Preußen Muenster,110000,1000
E. Durmaz,17,Sweden,54,66,Hammarby IF,110000,1000
A. Linner,18,Sweden,54,66,AIK Solna,110000,1000
A. Dussan,16,Colombia,54,74,Atletico Huila,110000,1000
J. Reiners,19,Australia,54,65,Perth Glory,110000,1000
S. Wilson,18,England,54,70,Mansfield Town,110000,1000
J. Turner,18,England,54,74,Bolton Wanderers,110000,1000
C. Thomson,22,Scotland,54,64,St. Johnstone FC,110000,1000
B. Maher,16,Republic of Ireland,54,68,St. Patrick's Athletic,110000,1000
E. Diaz,21,Colombia,54,64,Jaguares Fútbol Club,110000,1000
M. Kennedy,20,Northern Ireland,54,64,Charlton Athletic,110000,1000
R. Lopez-Espin,21,United States,54,63,Real Salt Lake,110000,1000
M. Fernandes,20,Germany,54,63,Holstein Kiel,110000,1000
D. Salina,21,Argentina,54,64,Temperley,110000,1000
A. Damlu,17,Turkey,54,71,Evkur Yeni Malatyaspor,110000,1000
E. Iandolo,19,England,54,64,Swindon Town,110000,1000
M. Lopez,20,Chile,54,66,CD Huachipato,110000,1000
T. Lijour,18,France,54,72,Stade Brestois 29,110000,1000
C. Gregory,17,England,54,74,Shrewsbury,110000,1000
R. Tanaka,18,Japan,54,66,Kashiwa Reysol,110000,1000
M. Miller,21,England,54,63,Hamilton Academical FC,110000,1000
J. Isaksen,17,Norway,54,67,Kristiansund BK,110000,1000
L. Klante,18,Germany,54,71,SC Preußen Muenster,110000,1000
R. Källman,18,Finland,54,68,HJK Helsinki,110000,1000
C. Triana,20,Colombia,54,64,CD Once Caldas Manizales,110000,1000
J. McIntyre,20,Northern Ireland,54,64,Derry City,110000,1000
J. Gallagher,21,Republic of Ireland,54,63,Atlanta United FC,110000,1000
B. Scott,18,United States,54,72,1. FC Köln,110000,1000
M. Doyle,18,Republic of Ireland,54,65,Drogheda United,110000,1000
I. Messaoud,17,Algeria,54,66,GFC Ajaccio,110000,1000
D. Kelly,21,Republic of Ireland,54,64,Bray Wanderers,110000,1000
J. Hamilton,18,Republic of Ireland,54,65,Bohemian FC,110000,1000
O. Ünluecifci,20,Germany,54,64,Wuerzburger FV,110000,1000
E. Sedov,18,Russia,54,72,Amkar Perm,110000,1000
J. McGarry,19,New Zealand,54,65,Wellington Phoenix,110000,1000
R. Coughlan,20,Republic of Ireland,54,63,Bray Wanderers,110000,1000
S. Cosgrove,20,England,54,64,Aberdeen,110000,1000
I. Boye,20,Nigeria,54,63,Örebro SK,110000,1000
C. Day,17,England,53,72,Preston North End,110000,1000
H. Darling,17,England,53,68,Cambridge United,110000,1000
M. O'Connor,18,Republic of Ireland,53,66,Shamrock Rovers,110000,1000
L. Clark,19,Scotland,53,68,Kilmarnock,110000,1000
E. Bodholdt-Larsen,18,Denmark,53,69,Lyngby BK,110000,1000
P. Schoch,18,Germany,53,66,SpVgg Unterhaching,110000,1000
F. Figueroa,19,Venezuela,53,66,Atletico Huila,110000,1000
L. Morrison,18,Scotland,53,66,Sligo Rovers,110000,1000
S. Baddy Dega,18,Switzerland,53,68,FC Lausanne-Sports,110000,1000
M. Roerslev,18,Denmark,53,72,FC København,110000,1000
J. Barstad,19,Norway,53,67,Aalesunds FK,110000,1000
J. Tucker,17,England,53,71,Gillingham,110000,1000
I. Smith,19,Costa Rica,53,67,IFK Norrköping,110000,1000
K. Yao,18,England,53,73,Charlton Athletic,110000,1000
D. Vanin,17,Switzerland,53,70,FC St. Gallen,110000,1000
L. Ranger,18,Norway,53,67,Lillestrøm SK,110000,1000
H. Coulson,19,England,53,73,Middlesbrough,110000,1000
L. Vallier,18,France,53,69,Stade de Reims,110000,1000
S. Mandić,22,Montenegro,53,65,Sogndal,110000,1000
L. Butroid,18,England,53,71,Scunthorpe United,110000,1000
L. Shabani,17,Sweden,53,71,Malmö FF,110000,1000
E. Toal,18,Northern Ireland,53,70,Derry City,110000,1000
S. Owens,19,England,53,70,AFC Wimbledon,110000,1000
K. Katz,17,Finland,53,70,HJK Helsinki,110000,1000
M. Al Shanqeeti,18,Saudi Arabia,53,70,Ohod Club,110000,1000
T. Domgjoni,18,Switzerland,53,68,FC Zuerich,110000,1000
S. Mulattieri,16,Italy,52,77,La Spezia,110000,1000
R. Dingwall,20,Scotland,52,66,Ross County FC,110000,1000
J. Gesien,19,Germany,52,69,Hansa Rostock,110000,1000
S. Boyd,19,Republic of Ireland,52,66,Shamrock Rovers,110000,1000
S. Grønli,16,Norway,52,73,Tromsø IL,110000,1000
K. Ekman,19,Sweden,52,68,Jönköpings Södra IF,110000,1000
S. Mason,17,Wales,52,74,Walsall,110000,1000
G. Kharaishvili,20,Georgia,52,66,IFK Göteborg,110000,1000
E. Crona,17,Sweden,52,74,Kalmar FF,110000,1000
M. Bazi,19,Sweden,52,69,IFK Norrköping,110000,1000
S. Martin,20,Scotland,52,66,Hibernian,110000,1000
Y. Barka,19,France,52,69,AS Nancy Lorraine,110000,1000
S. Lusiusz,17,Poland,52,75,Cracovia,110000,1000
K. Ackermann,16,Sweden,52,73,BK Häcken,110000,1000
A. Livingstone,19,Scotland,52,66,Motherwell,110000,1000
A. Burke-Gilroy,19,Australia,52,67,Newcastle Jets,110000,1000
D. Bičik,36,Czech Republic,67,67,Sparta Praha,100000,1000
T. Brzyski,35,Poland,64,64,Sandecja Nowy Sącz,100000,1000
K. Yano,33,Japan,61,61,Albirex Niigata,100000,1000
C. Stefańczyk,33,Poland,61,61,Wisła Płock,100000,1000
L. Grorud,33,Norway,61,61,Sandefjord Fotball,100000,1000
P. Cherrie,33,Scotland,60,60,Cork City,100000,1000
T. Tanaka,34,Japan,60,60,Albirex Niigata,100000,1000
Calzado,33,Spain,60,60,C.D. Leonesa S.A.D.,100000,1000
K. Kirihata,30,Japan,59,59,Kashiwa Reysol,100000,1000
H. Oka,29,Japan,58,59,Ventforet Kofu,100000,1000
L. Saxton,27,England,58,59,GIF Sundsvall,100000,1000
D. Marino,28,Italy,58,58,Ternana,100000,1000
D. Watabe,28,Japan,58,58,Omiya Ardija,100000,1000
R. Okui,27,Japan,58,58,Omiya Ardija,100000,1000
F. Due,24,Denmark,57,63,Randers FC,100000,1000
K. Stępniowski,24,Poland,57,61,Cracovia,100000,1000
J. Sullivan,26,Republic of Ireland,57,59,Bray Wanderers,100000,1000
M. Kryczka,24,Poland,57,61,Wisła Płock,100000,1000
C. Mosquera,22,Colombia,57,63,Tigres FC,100000,1000
R. Suzuki,23,Japan,57,63,Gamba Osaka,100000,1000
J. Beaulieu,23,Canada,57,62,Montreal Impact,100000,1000
C. Brown,25,United States,57,63,Seattle Sounders FC,100000,1000
C. Mafoumbi,23,France,57,61,Blackpool,100000,1000
S. Pabón,21,Colombia,56,64,CPD Junior Barranquilla,100000,1000
T. Rönning,18,Sweden,56,66,IF Elfsborg,100000,1000
R. McEvoy,26,Republic of Ireland,56,57,Drogheda United,100000,1000
N. Kawaguchi,23,Japan,56,62,Albirex Niigata,100000,1000
A. Wolniewicz,24,Poland,56,60,Górnik Zabrze,100000,1000
V. Vorel,21,Czech Republic,56,64,Sparta Praha,100000,1000
Y. Mersin,22,Turkey,56,64,Crawley Town,100000,1000
L. Conlan,22,Northern Ireland,56,62,Morecambe,100000,1000
M. Pattier,21,France,56,64,FC Lorient,100000,1000
T. Whitehead,22,Republic of Ireland,55,61,Limerick FC,100000,1000
A. Jerez,18,Chile,55,65,Curicó Unido,100000,1000
Park Byung Hyun,24,Korea Republic,55,60,Daegu FC,100000,1000
J. Knoll,17,Germany,55,66,Rot-Weiß Erfurt,100000,1000
D. Parkin,18,England,55,65,Chesterfield,100000,1000
J. Lucero,22,Argentina,55,63,Temperley,100000,1000
A. Dini,21,Italy,55,63,Parma,100000,1000
C. McCabe,20,Republic of Ireland,55,64,Bohemian FC,100000,1000
A. Byrne,22,Republic of Ireland,55,61,Galway United,100000,1000
