Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Population Density (per sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Sierra Leone,SLE,7237025,2.205467123,72300,100.0971646,..,3979817204,550,9992331550,1380,..,51.423,4.561,118.3336,..,..,122.2,..,78,58.25111008,38.23815155,0.968200028,1.4,30440,..,..,..,..,4218723875,-20.59877072,18.86476336,58.65189371,4.555925675,19.36254453,47.44006727,15.5287737,..,6,..,0.930689008,78.16747904,0.414848243,48.40361636,42.99700123,1378425000,1.258897648,..,6763601.76,252435829.4,130.7622953,582.9362031,-252435829.4,6.693679279
Singapore,SGP,5535002,1.186376937,719,..,..,2.99E+11,54020,4.64E+11,83760,..,82.74390244,1.24,3.7704,..,99.6,2.7,..,95,..,..,..,0.2,163.5,..,..,..,..,3.04E+11,2.241057968,3.586557489,0.031095003,24.24879256,177.3917081,151.6561916,27.1233821,18.2282976,3,210.444135,3.161291959,148.7391202,49.27542568,211.5711739,86.46791123,..,..,..,..,70595384867,..,54940.85814,-39472660157,-0.522752485
Sint Maarten (Dutch part),SXM,38824,2.977647481,34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,107089385.5,27770949.72,..,..,-27664804.47,..
Slovak Republic,SVK,5423801,0.095033879,49035,110.6108086,..,95339057199,17580,1.57E+11,28990,8.5,76.56341463,1.4,22.2734,..,..,6,..,95,95.98979187,90.96740723,1.004770041,0.1,19400,..,3003.66422,..,..,87501423882,3.850100604,-0.152881088,3.387079187,31.14259663,92.96750552,91.36023534,24.20443467,40.20971009,7,..,1.126793511,122.7277574,10.2880693,169.9247044,92.842373,..,..,..,239900609.9,1519809127,..,16132.86031,-102316226.3,-0.325219777
Slovenia,SVN,2063531,0.075190689,20270,101.80222,..,45897765922,22240,62983738354,30520,9.6,80.77560976,1.57,4.4396,..,..,2.4,..,94,97.51605225,109.77034,1.003260016,0.1,12480,..,3174.872585,..,..,43072415017,2.258902398,0.96729871,2.025707226,28.15652512,76.99218179,68.40445524,19.37065753,39.70463039,4,14.01126451,0.930503005,113.4538083,6.420656782,143.4255521,95.06737562,..,..,..,184096113.1,1729437645,..,20873.16111,-1403818968,-0.525552286
Solomon Islands,SLB,587482,2.059942864,28900,20.32809689,..,1129704811,1920,1305436443,2220,..,70.43,3.907,49.2814,29.3,86.2,21.9,15.5,75,..,..,..,..,21850,..,..,..,..,1154650066,2.542240201,3.080218766,..,..,45.07474364,53.31904828,..,35.0149875,7,..,..,72.29361921,2.799395181,75.02108433,91.89728559,207463000,1.257717457,..,55643035.76,32222728.56,323.4652296,1965.422032,-27508876.56,-0.574469286
Somalia,SOM,13908129,2.881205398,637660,21.81119876,..,..,..,..,..,..,55.876,6.365,104.235,..,..,135.6,..,46,..,..,..,0.1,63630,..,..,..,..,6631336625,..,..,..,..,15.6524111,60.89044353,..,..,9,..,..,41.96107183,..,..,92.62183062,2891647000,0.000484677,..,..,303000000,90.11780089,476.7957376,..,..
South Africa,ZAF,55291225,1.368770441,1219090,45.35450623,..,3.35E+11,6070,7.11E+11,12850,..,61.981,2.485,46.068,..,..,40.3,..,76,83.71096039,102.753891,0.951690018,18.8,92410,..,..,..,..,3.18E+11,1.279538256,5.12138338,2.080835376,26.04272527,30.15604561,31.4441028,20.97967774,31.70561436,7,231.617915,1.099281463,159.1563435,5.88097093,58.56363696,132.9879048,1.38E+11,2.60756705,..,980097838.5,1521139945,25.68707783,5746.681127,3993788901,4.509208278
South Sudan,SSD,11882136,2.999954993,644330,18.44107212,65.6,12162365471,1020,21742610771,1830,..,56.322,4.938,68.4536,..,..,96.4,..,20,..,9.883859634,0.685739994,2.5,71570,..,..,..,..,10906867790,-0.174927114,0.303421242,..,..,21.03316069,28.88948678,14.52658012,..,13,..,8.748453861,24.3979702,..,..,..,..,..,..,145950000,150000,140.9536131,917.9214739,-1180000,52.81465207
Spain,ESP,46444832,-0.077588862,505940,91.7990908,..,1.32E+12,28420,1.61E+12,34740,5.8,82.83170732,1.33,8.758,..,..,3.2,..,96,98.92230225,129.4799194,1.004359961,0.4,184178.7,..,2571.340962,..,..,1.20E+12,3.432253328,0.610875762,2.524634305,21.42698412,32.940061,30.67033457,20.39142665,16.32197467,7,65.72039789,1.267990311,110.0653904,7.146099369,49.63255501,91.56516851,..,..,..,341321439.1,34281361175,..,25789.51955,30905602830,-0.500461321
Sri Lanka,LKA,20966000,0.934429494,65610,319.5549459,..,78729302305,3760,2.41E+11,11500,..,75.088,2.063,15.5636,..,..,9.5,..,99,98.71412659,..,..,0.1,20700,..,..,..,..,80554807486,5.007683305,0.649042285,8.184271461,27.16952619,21.01310319,28.5456934,31.1813887,13.28491383,8,25.82603155,2.55280463,115.3789507,0.836279814,36.59756744,109.7042917,43925209000,4.344864918,..,896280000.2,679655644.2,20.3772775,3842.16386,-626668319.8,3.768367831
St. Kitts and Nevis,KNA,54288,1.016421314,260,208.8,..,838751880.3,15450,1357105205,25000,..,..,..,..,..,..,13.9,..,95,..,..,..,..,110,..,..,..,..,878281518.5,3.976354829,-0.363854343,1.032314746,24.16125666,60.48100413,59.02584766,..,..,7,..,..,134.4846006,..,40.10934906,71.40261055,..,..,..,13907848.66,132141921,..,16178.18889,-132265824.4,-2.30187563
St. Lucia,LCA,177206,0.443971354,620,285.816129,..,1452805642,8200,2203787848,12440,..,75.3,1.471,41.9872,..,..,17.3,..,97,..,88.20584869,..,..,203,..,..,..,..,1649142630,1.963608034,4.218160434,2.056023544,11.18998177,..,..,..,..,5,..,..,105.9450583,..,45.50982956,111.2212266,533526000,4.443319321,..,9992960.558,94735396.71,77.64974098,9306.358868,-75113250.41,-0.984309204
St. Martin (French part),MAF,31754,0.70792281,54.4,583.7132353,..,..,..,..,..,..,79.47073171,1.81,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,109455,0.089574618,390,280.6538462,..,730272243.6,6670,1212596552,11080,..,73.06,1.953,51.2152,..,..,17.4,..,99,98.20456696,106.414238,0.974049985,..,270,..,..,..,..,756666666.7,1.822457378,2.473626291,6.237885463,15.30866911,36.90651003,54.38081253,..,..,7,..,..,103.577726,8.332507808,50.15193833,100.9271453,341293000,4.461318133,..,9723822.622,54479059.56,123.3383582,6913.038844,-47764400.44,-1.73361195
Sudan,SDN,38647803,2.382469096,1879357.5,20.56437,..,77258703649,2000,1.61E+11,4150,..,64.257,4.595,70.399,..,..,67.1,..,87,59.55001068,45.83031845,0.937820017,0.2,192099.4,..,..,..,..,97156119150,4.906045175,17.90375845,31.41855828,2.073172935,8.182226094,10.91857802,16.56004134,..,11,..,2.356516582,72.29002642,..,13.04923057,..,21403615000,0.58981295,..,89390261.94,1728373403,22.36616476,2513.884661,-1728373403,16.90945571
Suriname,SUR,553208,0.959016955,163820,3.376925894,..,4887497542,8830,8653938610,15640,..,71.279,2.396,47.3324,..,80,20.9,..,94,93.21759796,78.52960968,1.130599976,1.3,153320,..,..,..,..,4826587058,-2.597529896,-2.100253687,9.211084834,25.38354254,38.46340428,55.98205082,67.44288703,..,13,..,..,135.6556666,..,76.25471075,128.0460758,..,..,..,32221024.19,183665852.7,28.88606094,8724.723897,-266741456,6.867599244
Eswatini,SWZ,1319011,1.829661753,17360,75.97989631,..,4327390998,3280,11005006414,8340,..,57.107,3.141,80.0864,..,..,57.8,..,89,80.58824158,67.0429306,0.935469985,28.3,5860,..,..,..,..,4020275298,0.391128861,7.554897974,9.590903689,35.73692047,49.63082451,50.10796923,11.44135272,..,12,..,1.687060477,71.34133074,..,79.65973171,111.263345,390848000,0.70216781,..,19330858.64,31498094.37,70.22685937,3047.946756,-32719601.21,4.951244937
Sweden,SWE,9799186,1.057454686,447420,21.90153771,..,5.67E+11,57880,4.75E+11,48510,8.2,82.20487805,1.85,5.3086,..,..,2.9,..,97,103.7707367,140.4372253,1.090989947,..,280730,..,5102.785578,..,..,4.98E+11,4.521969347,2.065616965,1.202635326,21.68186559,45.55123266,40.6895706,24.28523808,32.33543499,3,..,1.081893206,129.4488949,14.25174398,55.94430775,93.65805202,..,..,..,1241876377,8706026819,..,50812.19086,7549654374,-0.046784745
Switzerland,CHE,8282396,1.138337152,41290,200.5908452,..,7.10E+11,85780,5.40E+11,65210,7.8,82.89756098,1.54,3.1946,..,..,4.3,..,94,95.53907013,101.1784668,0.979340017,..,12540,..,2960.073389,..,..,6.79E+11,1.226384359,-0.600769414,0.65085656,25.0697646,62.13828227,50.62987722,23.12573356,17.91079827,6,223.6637259,0.6656936,135.1384876,26.83805522,79.9261549,108.1759047,..,..,..,25861113416,1.16E+11,..,82016.02131,12133813521,-1.143900644
Syrian Arab Republic,SYR,18734987,-2.467846523,185180,101.1717626,..,..,..,..,..,..,69.904,2.966,40.4704,..,..,17.2,..,53,..,..,..,..,4910,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,76.39327959,..,..,151.8938066,4419521000,..,..,..,..,260.9951104,..,..,..
Tajikistan,TJK,8548651,2.198677024,141376,60.46748387,31.3,10606141188,1240,28712309305,3360,7.4,70.879,3.404,37.4176,..,98,35.8,..,97,98.61299133,..,..,0.2,4120,..,..,..,..,7853450374,6,0.124298967,21.9360517,24.39382169,10.50394181,42.2945225,28.87073981,..,4,..,1.219202333,99.30221739,..,55.08661536,83.18670531,5001714000,3.64059772,..,165138264.3,426147890,49.87336598,918.6771543,-426147890,5.714559496
Tanzania,TZA,53879957,3.100829308,947300,56.87739576,..,47714878691,910,1.36E+11,2610,..,64.95,5.079,118.1232,..,..,58.3,13.7,99,..,..,..,4.7,460600,..,..,..,..,45623490992,6.959314247,6.553522732,28.99884708,24.31805239,21.62351804,24.77674679,27.20535088,..,11,..,1.133236064,73.61847004,0.759900485,34.45592535,158.5392046,15504686000,0.714192037,..,103818117.8,1604581620,47.9257992,872.2954949,-1604581620,5.58816953
Thailand,THA,68657600,0.351383332,513120,133.8041784,7.2,3.92E+11,5710,1.06E+12,15400,7.5,75.103,1.498,51.7358,..,..,10.4,..,99,90.63141632,120.6315536,0.952939987,1.2,163990,..,..,..,..,4.01E+11,3.020173993,0.859346507,8.992772027,36.2204733,68.71420084,57.1882956,22.12768205,20.39766415,7,86.89549374,1.448287847,149.9353313,21.44172319,103.8772222,100.3380499,1.30E+11,5.06467368,..,3992370000,8927579181,0.854530307,5846.394608,-3936528344,-0.900424963
Timor-Leste,TLS,1240977,2.295569323,14870,83.45507734,..,3697043153,2980,8835697382,7120,..,68.569,5.618,47.2688,..,..,51.2,..,70,101.4016113,67.9509201,1.014189959,..,6860,..,..,..,..,3104426021,20.88076021,-36.51588898,8.931905131,56.86204375,1.626709726,29.13259952,18.88916006,47.65056182,4,..,1.153501724,110.9342881,..,29.89435064,..,..,..,..,158813100,42995500,171.0668288,2501.598354,-30328700,0.552796026
Togo,TGO,7416802,2.565901122,56790,130.600493,55.1,4528446815,610,11037232243,1490,5,59.949,4.517,90.1494,..,..,77.7,..,85,82.86473846,..,..,2.3,1880,..,..,..,..,4087775415,5.384842189,3.508914425,40.66192797,17.65174562,42.21579426,67.60206715,20.73525919,23.3071125,6,..,1.748239637,65.46225718,0.411953834,81.86656363,117.7532836,1054378000,1.410337834,..,89395655.31,257756356.3,26.91052019,551.1506732,90756741.39,1.783234671
Tonga,TON,106364,0.548680117,750,141.8186667,..,455344303.1,4280,593913669.7,5580,..,72.88,3.678,15.438,..,..,16.7,..,85,..,..,..,..,90,..,..,..,..,435438217.3,3.71184687,1.406846744,17.62203049,16.92471339,17.02143955,64.72329512,..,..,4,..,..,69.09574668,..,52.09028308,104.2630692,173710000,3.500143226,..,31171094.46,12546868.58,643.0747245,4093.849585,-10580486.63,-1.05399832
Trinidad and Tobago,TTO,1360092,0.412512995,5130,265.1251462,..,25619634842,18840,45204437439,33240,..,70.556,1.766,31.976,..,100,27.7,..,89,..,..,..,1.2,2344.8,..,..,..,..,24402499451,1.517162962,-12.06235378,0.446716295,37.03729169,..,..,..,..,7,..,0.779814516,156.1198801,0.125551938,83.09722551,139.374208,..,..,..,289580106.3,176829710.4,..,17941.80059,-65561553.47,4.661215981
Tunisia,TUN,11273661,1.157613914,163610,68.90569647,15.2,44319928429,3930,1.25E+11,11110,..,75.525,2.223,7.6278,..,..,14,..,98,103.1542892,88.1955719,..,0.1,10410,..,..,..,..,43156708809,1.153615837,3.590457333,10.19476423,25.20004441,40.6580971,51.61086843,20.33294927,..,9,20.43543227,2.269650658,129.4688123,6.327421481,79.46376118,110.4672581,27130593000,4.826332662,..,26457656.28,970521888.7,42.09280375,3828.100633,-970521888.7,4.857182282
Turkey,TUR,78271472,1.598008534,785350,99.66444515,1.6,9.40E+11,12000,1.92E+12,24570,5.6,75.498,2.072,28.006,..,..,13.4,..,97,92.45694733,103.0501938,0.980139971,..,117150,..,1656.803375,..,..,8.60E+11,6.085886632,7.826941985,6.903473842,27.90428941,23.34593035,25.95393541,28.36202462,32.43630663,8,21.9658731,1.847938806,94.08186548,2.159703396,40.83211293,98.25700285,3.97E+11,2.572932527,..,850000000,18002000000,27.40743141,10984.8052,-12906000000,7.670853648
Turkmenistan,TKM,5565284,1.795683939,488100,11.40193403,..,39142748553,7030,83651648055,15030,..,67.704,2.931,25.2328,..,..,50.5,3.2,99,..,..,..,..,41270,..,..,..,..,35799628571,6.49999991,-5.153524876,9.300176299,56.96627339,..,..,..,..,..,..,..,140.909251,..,53.07317634,174.6389798,402877000,0.160364907,..,..,3042968465,4.244167953,6432.668768,..,..
Turks and Caicos Islands,TCA,34339,1.762729622,950,36.14631579,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,344,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.43886836,..,..,..,85674000,-83617000,..,..,..,..
Tuvalu,TUV,11001,0.848971277,30,366.7,..,60436903.79,5490,62817008.94,5710,..,..,..,..,..,..,26.6,..,94,112.1827393,95.97914886,1.114949942,..,10,..,..,..,..,35556038.82,9.142911919,4.630682931,16.50809413,7.276346249,..,..,..,..,..,..,..,59.99454595,..,104.2045212,..,..,..,..,..,300000,4513.22607,3232.07334,..,..
Uganda,UGA,40144870,3.321555686,241550,166.1969365,..,26768594170,670,69930681817,1740,..,59.575,5.682,114.5604,34.3,..,55.3,..,80,..,..,..,6.3,20770,..,..,..,..,27102650472,5.187859863,5.004456542,23.9815828,20.0099174,18.44430441,29.22011689,24.61640387,13.85688657,14,..,1.915251901,50.36826125,1.82776969,28.76148961,117.6961974,9925262000,0.368512162,..,278222282.5,737652140.2,40.55810867,675.1211418,-737364516.3,5.594175853
Ukraine,UKR,45154029,-0.260805738,603550,74.81406511,6.4,1.14E+11,2650,3.36E+11,7850,10,71.1895122,1.506,25.4852,..,..,9.4,..,56,..,..,..,0.9,96570,..,..,..,..,91030959455,-9.772973947,38.88165934,12.05937611,21.78855484,52.59767951,54.48398426,15.93331603,35.75839408,5,..,3.973258827,143.9836554,7.268416258,81.48480522,83.58760349,1.21E+11,31.79201587,..,627000000,3050000000,32.09791091,2124.662666,-3012000000,48.69986464
United Arab Emirates,ARE,9154302,0.915608331,83600,109.5012201,..,3.97E+11,43360,6.52E+11,71200,..,77.101,1.765,28.0758,..,99.9,8.7,..,99,105.1860886,..,..,..,3226,..,..,..,..,3.58E+11,5.064701529,-15.44540033,0.740999247,43.90903333,100.8704802,74.35082733,25.67137375,3.530406607,6,56.64348004,..,196.0013991,..,157.342876,286.4445882,..,..,..,..,8550901847,..,39122.04971,..,4.069966084
United Kingdom,GBR,65128861,0.794967909,243610,267.3488814,..,2.85E+12,43720,2.65E+12,40660,7.5,80.95609756,1.8,14.5964,..,..,4.5,..,93,102.2895584,125.4854965,1.017680049,..,31440,..,2763.980058,..,..,2.89E+12,2.345939517,0.456272022,0.592777078,17.84822344,27.38131354,29.09515724,16.97234713,34.89829447,4,..,1.882575236,121.1839932,20.8121556,37.65365918,95.92994261,..,..,..,10702661997,45333483122,..,44305.55463,-1.15E+11,0.050020842
United States,USA,321039839,0.755812955,9831510,32.65417408,..,1.81E+13,56300,1.86E+13,57880,..,78.6902439,1.8435,22.441,..,99.1,6.8,..,92,..,97.18483734,1.00635004,..,3100950,..,6797.620612,..,..,1.81E+13,2.861587025,1.084432578,1.069936278,19.44185591,12.49904391,15.39099398,20.42799748,19.15352784,6,138.336379,3.289633618,119.4973905,18.99152452,21.06911148,96.96738446,..,..,..,61859000000,5.09E+11,..,56443.81724,-1.95E+11,0.118627136
Uruguay,URY,3431552,0.350484325,176220,19.47311315,9.7,54308516999,15830,70433541534,20530,5.6,77.341,2.007,56.0292,79.6,..,8.9,..,96,102.1828613,111.6482391,..,0.6,18450,..,..,..,..,53274304222,0.370741267,9.016280621,6.131441946,25.44175806,22.47785125,22.85038956,19.7053904,30.44955153,5,..,1.820588138,150.5287986,13.84634852,32.22360433,106.1233505,..,..,..,9365614.216,2432624407,6.754961021,15524.84247,-830081398.4,8.666269871
Uzbekistan,UZB,31298900,1.744258375,447400,69.9573089,..,67884609616,2170,1.94E+11,6200,..,71.192,2.491,16.9212,..,100,25.6,..,99,97.90003204,91.57893372,0.986999989,0.2,32199,..,..,..,..,66903804143,7.999999999,9.074861814,16.61404018,31.49906029,19.51832212,21.34721662,23.71090337,25.3031803,4,..,..,70.32310573,..,32.88303301,158.0826283,14854025000,1.857359443,..,..,66489280,14.30753157,2137.576852,..,..
Vanuatu,VUT,264603,2.198184614,12190,21.70656276,..,757188065.6,2860,773293507,2920,..,71.925,3.312,43.0728,..,..,28.2,..,76,..,54.81875992,1.007310033,..,4400,..,..,..,..,737917151.4,-0.801094177,2.484525101,26.60491141,11.38576313,..,..,..,20.73486105,8,..,..,66.068034,..,54.96877247,97.53384473,217233000,0.992477494,..,3331006.951,31021245.77,705.0562541,2788.770919,-29505200.99,2.483268757
"Venezuela, RB",VEN,31155134,1.346707547,912050,34.15945836,33.1,..,..,..,..,..,74.367,2.341,86.3302,..,97.3,22.5,..,92,94.99336243,89.42666626,1.014950037,..,466830,..,..,..,..,..,..,..,..,..,..,..,..,..,20,..,0.941375969,93.3827375,..,..,145.2336571,1.24E+11,..,..,105000000,2956000000,1.174445278,..,-370000000,121.7380853
Vietnam,VNM,93571567,1.103247173,330967,282.7217427,..,1.82E+11,1950,5.25E+11,5610,..,76.052,1.958,30.7942,75.7,..,21.6,14.1,97,103.9991684,..,..,0.4,147730,..,..,..,..,1.93E+11,6.679288789,-0.190788132,16.992212,33.25008073,89.77924864,88.98816608,27.67672773,..,9,26.84555597,2.361155697,128.5903997,..,169.5675266,136.3987809,77827377000,3.612396798,..,55000000,11800000000,33.74272871,2065.169099,-10700000000,0.878603714
Virgin Islands (U.S.),VIR,107710,-0.161414546,350,307.7428571,..,..,..,..,..,..,79.16829268,2.11,44.121,..,..,..,..,..,..,..,..,..,176,..,..,..,..,3765000000,0.194300518,3.689259708,..,..,40.69057105,41.24833997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34954.97168,..,..
West Bank and Gaza,PSE,4422143,2.924690711,6020,734.5752492,..,14435403177,3440,25194750975,5700,..,73.299,4.075,58.065,..,..,21.9,..,..,95.7907486,83.215271,1.059569955,..,91.7,..,..,..,..,12673000000,3.428732213,-3.638982787,3.55164523,18.89450012,18.44945948,59.47762961,21.12680502,5.960567268,10,26.3489308,..,75.72566678,0.83703817,..,85.49354563,..,..,..,32084481.25,104937726.7,423.1455202,2865.805109,-29667905.72,1.431611458
"Yemen, Rep.",YEM,26916207,2.520254045,527970,50.9805614,..,29534452889,1100,69568885991,2580,..,64.743,4.104,63.28,..,..,55.4,..,67,..,..,..,..,5490,..,..,..,..,34602480339,-37.14675128,27.35280351,10.3484434,58.78061419,10.89956638,24.7502766,1.84942239,..,6,..,..,55.8100664,4.695853281,21.88571434,135.6735676,7287189000,0.976980253,..,333389518,-15444808.35,56.89434622,1285.563019,15444808.35,..
Zambia,ZMB,16100587,3.024123253,752610,21.39300169,54.4,25084353572,1560,61168335733,3800,2.9,61.397,5.041,89.1276,..,..,64.9,..,90,..,..,..,12,486350,..,..,..,..,21154394546,2.91988111,6.660245316,4.98082954,33.65772154,37.13845102,42.72670412,42.80506552,18.31001341,7,..,1.785548668,71.78449457,5.268126023,73.3574106,173.1507764,8742426000,2.384503098,..,72104698.87,1582666667,49.50999613,1313.889646,-1724246018,10.11059289
Zimbabwe,ZWE,15777451,2.345642971,390760,40.3763205,..,14001346960,890,28221755180,1790,..,60.398,3.836,107.5554,66.8,78.1,57,8.4,86,..,..,..,14,140620,..,..,..,..,16304667800,1.689594592,0.898071731,10.14307203,21.15958474,23.45934948,46.02279968,12.28744446,..,10,..,2.343629228,80.85849863,2.893651173,44.45532944,108.1530222,8738004000,3.939809597,..,11350439.12,399200000,49.96307705,1033.415841,-399200000,-2.409499988
